id,lat,lon,rooms,bedrooms,bathrooms,surface_total,surface_covered,es_mensual,l1_Argentina,l1_Brasil,l1_Estados Unidos,l1_Uruguay,l2_Bs.As. G.B.A. Zona Norte,l2_Bs.As. G.B.A. Zona Oeste,l2_Bs.As. G.B.A. Zona Sur,l2_Buenos Aires Costa Atlántica,l2_Buenos Aires Interior,l2_Canelones,l2_Capital Federal,l2_Catamarca,l2_Chaco,l2_Chubut,l2_Colonia,l2_Corrientes,l2_Córdoba,l2_Entre Ríos,l2_Florida,l2_Formosa,l2_Jujuy,l2_La Pampa,l2_La Rioja,l2_Maldonado,l2_Maryland,l2_Mendoza,l2_Miami,l2_Michigan,l2_Misiones,l2_Montevideo,l2_Neuquén,l2_Pennsylvania,l2_Rocha,l2_Río Negro,l2_Salta,l2_San Juan,l2_San Luis,l2_Santa Catarina,l2_Santa Cruz,l2_Santa Fe,l2_Santiago Del Estero,l2_Tierra Del Fuego,l2_Tucumán,PROB
aB4Tzs+i8CyPrCWnMDzyuQ==,-34.6549807,-58.5120328,4.0,3.0,2.0,230.0,150.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4625
xshJ/D9SD1RCa9oXC1wcXA==,-34.5541173192,-58.7030950466,4.0,3.0,-1.0,527.8405683367065,240.45983488872938,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8881118881118881
N+OWxOm7ulP0Ft/KMoAB2w==,-34.4789327576,-58.575586056800006,-1.0,2.0,2.0,500.0,150.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4485294117647059
rGOfZ8o8CnKNoa3SBQPISA==,-34.4381596117,-58.789604951,-1.0,3.0,3.0,280.0,230.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711864406779661
eQasj4jq1BpDFIskddXFnw==,-35.0190246788,-58.6534473491,4.0,3.0,3.0,498.0,332.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6736401673640168
sDrzqaCZdNOtFDF/KG1B+g==,-34.60120806,-58.63701788,-1.0,-1.0,2.0,527.8405683367065,240.45983488872938,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
5EJSn766tBg5HDMC4IPTGg==,-34.3846912,-58.6808715,5.0,-1.0,3.0,527.8405683367065,193.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9201520912547528
GiJsoz0hBvCOjEm5WnMTuA==,-34.39029,-58.710833,6.0,4.0,4.0,260.0,260.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4859154929577465
ZXWO75NQ4QakEa7mwyTvsw==,-34.53525925,-58.51059723,5.0,-1.0,3.0,220.0,220.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6551724137931034
8ahwW3qZzkwEJ9l2USFfkw==,-34.467206,-58.858964,7.398545525749032,5.0,3.0,1213.0,364.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9450297755382501
HonQb8iZBxGyvKgQtoLsVg==,-34.88873270000001,-58.4982515,6.0,5.0,3.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726027397260274
daG2wKk/15V7xYpwamaSFg==,-34.636771029853726,-59.37843160735844,-1.0,3.0,3.0,460.0,190.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621414913957935
CiobHhu3+Z1lgVedaI7i3A==,-34.7300800908,-58.252301216099994,4.0,3.0,3.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5689655172413793
VSzYtZzjbQqVvlFCPbSCNA==,-34.636771029853726,-59.37843160735844,-1.0,5.0,-1.0,826.0,592.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8881118881118881
TyzqDcAPrF2jKeMrijxweQ==,-34.886289,-58.504889,5.0,4.0,4.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7237569060773481
